doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01006001___9c7557117a,连营寨,刘备,pdf_01000000__01006001___9c7557117a__char__fe7cc1b6d6,34,166,1.0,1.0,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,陆逊,pdf_01000000__01006001___9c7557117a__char__aa27f6e024,19,82,0.5588,0.494,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,韩当,pdf_01000000__01006001___9c7557117a__char__a27d322c75,15,46,0.4412,0.2771,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,傅士仁,pdf_01000000__01006001___9c7557117a__char__66179c4406,14,36,0.4118,0.2169,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,孙权,pdf_01000000__01006001___9c7557117a__char__877fe3dfd1,13,54,0.3824,0.3253,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,甘宁,pdf_01000000__01006001___9c7557117a__char__864dbe974a,11,26,0.3235,0.1566,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,众将,pdf_01000000__01006001___9c7557117a__char__7b28a9cc8c,11,21,0.3235,0.1265,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,周泰,pdf_01000000__01006001___9c7557117a__char__a5c672b91e,10,40,0.2941,0.241,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,麋芳,pdf_01000000__01006001___9c7557117a__char__edb2369591,10,22,0.2941,0.1325,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,马忠,pdf_01000000__01006001___9c7557117a__char__a0da4d915a,9,19,0.2647,0.1145,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,张苞,pdf_01000000__01006001___9c7557117a__char__f8f94d9d51,8,46,0.2353,0.2771,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,阚泽,pdf_01000000__01006001___9c7557117a__char__5341249577,8,27,0.2353,0.1627,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,糜芳,pdf_01000000__01006001___9c7557117a__char__30c8977426,8,17,0.2353,0.1024,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,众人,pdf_01000000__01006001___9c7557117a__char__8e13ac0691,8,13,0.2353,0.0783,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,关兴,pdf_01000000__01006001___9c7557117a__char__e7c6f5cec8,7,43,0.2059,0.259,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,吕范,pdf_01000000__01006001___9c7557117a__char__34639d6037,7,11,0.2059,0.0663,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,诸葛瑾,pdf_01000000__01006001___9c7557117a__char__5968ccb01b,6,22,0.1765,0.1325,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,夏旬,pdf_01000000__01006001___9c7557117a__char__4c5bc62434,6,7,0.1765,0.0422,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,张南,pdf_01000000__01006001___9c7557117a__char__e8536fb687,5,19,0.1471,0.1145,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,龙套,pdf_01000000__01006001___9c7557117a__char__7de0e34a64,5,7,0.1471,0.0422,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,马良,pdf_01000000__01006001___9c7557117a__char__66ac4a0805,4,24,0.1176,0.1446,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,沙摩柯,pdf_01000000__01006001___9c7557117a__char__e020c2ce49,4,13,0.1176,0.0783,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,赵咨,pdf_01000000__01006001___9c7557117a__char__5dda806970,4,7,0.1176,0.0422,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,杀马忠,pdf_01000000__01006001___9c7557117a__char__a07b049c0a,4,4,0.1176,0.0241,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,张达,pdf_01000000__01006001___9c7557117a__char__13e66e9cbf,3,7,0.0882,0.0422,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,范疆,pdf_01000000__01006001___9c7557117a__char__ba2994d8a2,3,7,0.0882,0.0422,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,丁奉,pdf_01000000__01006001___9c7557117a__char__7932ff623f,3,3,0.0882,0.0181,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,八蛮兵,pdf_01000000__01006001___9c7557117a__char__3aaa17f507,3,3,0.0882,0.0181,relations_aggregated
pdf_01000000__01006001___9c7557117a,连营寨,四短刀,pdf_01000000__01006001___9c7557117a__char__37d7e2873e,3,3,0.0882,0.0181,relations_aggregated
