doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01006001___9c7557117a,连营寨,刘备,张苞,命令,20,同场共现；命令；对话；提及,唔，孤命关兴、张苞，各带兵五万，埋伏山谷之中，倘陆逊踹营，趁势可擒也。,llm,
pdf_01000000__01006001___9c7557117a,连营寨,刘备,关兴,命令,15,命令；对话；提及,唔，孤命关兴、张苞，各带兵五万，埋伏山谷之中，倘陆逊踹营，趁势可擒也。,llm,
pdf_01000000__01006001___9c7557117a,连营寨,孙权,陆逊,命令,14,命令；对话；提及；礼节/隶属,孤命你带领人马，抵敌刘备，料无推辞。,llm,
pdf_01000000__01006001___9c7557117a,连营寨,韩当,周泰,协助,12,协助；同场共现；对话；评价,我等把守江北岸,llm,
pdf_01000000__01006001___9c7557117a,连营寨,马良,刘备,对话,11,劝阻；对话,启主公：东吴拜陆逊为帅，兵扎蓆亭。,adjacency,
pdf_01000000__01006001___9c7557117a,连营寨,关兴,张苞,同场共现,10,同场共现；对话,（沙摩柯、关兴、张苞、众人同上。〖上半段千秋岁〗。）,stage_direction,
pdf_01000000__01006001___9c7557117a,连营寨,张南,刘备,汇报,10,对话；汇报,张南报告诸葛瑾解范疆、张达及张飞首级来见。,llm,
pdf_01000000__01006001___9c7557117a,连营寨,陆逊,孙权,汇报,10,劝阻；对话；汇报,臣当竭力尽忠，以报主恩,llm,
pdf_01000000__01006001___9c7557117a,连营寨,关兴,刘备,汇报,9,同场共现；对话；汇报,关兴、张苞向刘备报告麋芳、傅士仁解马忠首级来见。,llm,
pdf_01000000__01006001___9c7557117a,连营寨,刘备,诸葛瑾,对抗,9,对抗；对话,刘备怒斥诸葛瑾为东吴说客，拒绝和谈。,llm,
pdf_01000000__01006001___9c7557117a,连营寨,刘备,马良,命令,9,命令；对话,刘备命马良画图问丞相,llm,
pdf_01000000__01006001___9c7557117a,连营寨,陆逊,韩当,命令,9,命令；对话；训斥,你等哪知俺的妙计也！,llm,
pdf_01000000__01006001___9c7557117a,连营寨,韩当,陆逊,汇报,9,劝阻；对话；汇报；礼节/隶属；质疑,将军，刘备移营，禀知元帅。,llm,
pdf_01000000__01006001___9c7557117a,连营寨,周泰,陆逊,汇报,8,劝阻；对话；汇报,刘备移营。,llm,
pdf_01000000__01006001___9c7557117a,连营寨,阚泽,孙权,协助,8,协助；对话；提及,我国现有能士，何不用之？,llm,
pdf_01000000__01006001___9c7557117a,连营寨,陆逊,周泰,命令,8,命令；对话,不必多言，带马回营。,llm,
pdf_01000000__01006001___9c7557117a,连营寨,糜芳,傅士仁,同场共现,7,同场共现；对话,（韩当、周泰、糜芳、傅士仁、马忠、夏旬同上，同起霸。〖点绛唇〗。）,stage_direction,
pdf_01000000__01006001___9c7557117a,连营寨,傅士仁,马忠,对抗,6,同场共现；对抗；对话,傅士仁参与杀死马忠。,llm,
pdf_01000000__01006001___9c7557117a,连营寨,刘备,张南,对话,6,,好贼子!,adjacency,
pdf_01000000__01006001___9c7557117a,连营寨,张苞,刘备,汇报,6,对话；汇报,关兴、张苞向刘备报告麋芳、傅士仁解马忠首级来见。,llm,
pdf_01000000__01006001___9c7557117a,连营寨,沙摩柯,甘宁,对抗,6,,沙摩柯与甘宁会阵开打,llm,
pdf_01000000__01006001___9c7557117a,连营寨,阚泽,陆逊,评价,6,对话；提及；评价,此人虽然年幼，乃是九江太守陆绩之后，胸中颇知兵法。,llm,
pdf_01000000__01006001___9c7557117a,连营寨,刘备,傅士仁,命令,5,,张苞斩范疆、张达、傅士仁,llm,
pdf_01000000__01006001___9c7557117a,连营寨,刘备,张达,命令,5,,张苞斩范疆、张达、傅士仁,llm,
pdf_01000000__01006001___9c7557117a,连营寨,刘备,范疆,命令,5,,张苞斩范疆、张达、傅士仁,llm,
pdf_01000000__01006001___9c7557117a,连营寨,刘备,麋芳,命令,5,,刘备斩糜芳,llm,
pdf_01000000__01006001___9c7557117a,连营寨,孙权,刘备,命令,5,命令；提及,"阚泽夸卿有孙武之才,孤命你带领人马,抵敌刘备,料无推辞。",mention,
pdf_01000000__01006001___9c7557117a,连营寨,诸葛瑾,刘备,对话,5,,"全凭三寸舌,打动一片心。",adjacency,
pdf_01000000__01006001___9c7557117a,连营寨,众将,甘宁,汇报,4,对话；汇报,众将同白：具已齐备。,llm,
pdf_01000000__01006001___9c7557117a,连营寨,刘备,关羽,提及,4,,哭罢了二弟把三弟叫,llm,
pdf_01000000__01006001___9c7557117a,连营寨,刘备,张飞,提及,4,,叫声三弟听根苗,llm,
pdf_01000000__01006001___9c7557117a,连营寨,周泰,韩当,对话,4,劝阻；对话,六郡之省尽皆休。,adjacency,
pdf_01000000__01006001___9c7557117a,连营寨,孙权,阚泽,对话,4,,"哎呀,咳,可叹先兄基业,一旦付与流水。",adjacency,
pdf_01000000__01006001___9c7557117a,连营寨,报子,刘备,汇报,4,对话；汇报,江南岸营中火起！,llm,
pdf_01000000__01006001___9c7557117a,连营寨,甘宁,众将,命令,4,命令；对话,甘宁白：起兵前往。,llm,
pdf_01000000__01006001___9c7557117a,连营寨,麋芳,傅士仁,协助,4,协助；同场共现；对话,麋芳提议杀马忠，傅士仁赞同，二人共同行动。,llm,
pdf_01000000__01006001___9c7557117a,连营寨,麋芳,马忠,对抗,4,同场共现；对抗,麋芳与傅士仁合谋杀死马忠。,llm,
pdf_01000000__01006001___9c7557117a,连营寨,众人,孙权,对话,3,,请。,adjacency,
pdf_01000000__01006001___9c7557117a,连营寨,关兴,甘宁,对抗,3,,关兴下令追赶甘宁,llm,
pdf_01000000__01006001___9c7557117a,连营寨,刘备,报子,对话,3,,"恐吴兵今夜前来劫营,张苞、关兴,须要准备",adjacency,
pdf_01000000__01006001___9c7557117a,连营寨,刘备,沙摩柯,命令,3,,刘备命沙摩柯带领蛮兵攻打头阵,llm,
pdf_01000000__01006001___9c7557117a,连营寨,刘备,陆逊,命令,3,命令；提及；评价,唔，孤命关兴、张苞，各带兵五万，埋伏山谷之中，倘陆逊踹营，趁势可擒也。,mention,
pdf_01000000__01006001___9c7557117a,连营寨,吕范,诸葛瑾,同场共现,3,同场共现；对话,（吕范、诸葛瑾、阚泽、赵咨同上。）,stage_direction,
pdf_01000000__01006001___9c7557117a,连营寨,张苞,甘宁,对抗,3,,张苞下令追赶甘宁,llm,
pdf_01000000__01006001___9c7557117a,连营寨,诸葛瑾,阚泽,同场共现,3,同场共现；对话,（吕范、诸葛瑾、阚泽、赵咨同上。）,stage_direction,
pdf_01000000__01006001___9c7557117a,连营寨,赵云,刘备,汇报,3,对话；汇报,"臣赵云见驾,愿主公千岁!",llm,
pdf_01000000__01006001___9c7557117a,连营寨,阚泽,赵咨,同场共现,3,同场共现；对话,（吕范、诸葛瑾、阚泽、赵咨同上。）,stage_direction,
pdf_01000000__01006001___9c7557117a,连营寨,陆逊,众将,命令,3,,众将官，吴侯挂我为帅……一概勿犯,llm,
pdf_01000000__01006001___9c7557117a,连营寨,马良,陆逊,提及,3,提及；礼节/隶属,陆逊非比周郎，不可轻敌。,mention,
pdf_01000000__01006001___9c7557117a,连营寨,众人,张苞,同场共现,2,,（沙摩柯、关兴、张苞、众人同上。〖上半段千秋岁〗。）,stage_direction,
pdf_01000000__01006001___9c7557117a,连营寨,众将,傅士仁,对抗,2,,将麋芳傅士仁的首级，献于刘备,llm,
pdf_01000000__01006001___9c7557117a,连营寨,众将,麋芳,对抗,2,,将麋芳傅士仁的首级，献于刘备,llm,
pdf_01000000__01006001___9c7557117a,连营寨,傅士仁,刘备,对抗,2,对抗；提及,不妨，趁此无人，将马忠杀死，献于刘备，岂不是好？,mention,
pdf_01000000__01006001___9c7557117a,连营寨,傅士仁,糜芳,对话,2,,不妨，趁此无人，将马忠杀死，献于刘备，岂不是好？,adjacency,
pdf_01000000__01006001___9c7557117a,连营寨,傅士仁,麋芳,同场共现,2,同场共现；对话,（糜芳、傅士仁同下。马忠上，麋芳、傅士仁同上，杀马忠，马忠下。）,stage_direction,
pdf_01000000__01006001___9c7557117a,连营寨,关兴,众人,同场共现,2,,（沙摩柯、关兴、张苞、众人同上。〖上半段千秋岁〗。）,stage_direction,
pdf_01000000__01006001___9c7557117a,连营寨,刘备,孙权,汇报,2,提及；汇报,"非是为伯的珠泪掉,孤与汝父生死交。哭罢了二弟把三弟叫,孤的好兄弟吓,(反西皮二六板)叫声三弟听根苗:大破黄巾天下晓,敌人见你望风逃。虎牢关曾把吕布的发冠挑,当阳",mention,
pdf_01000000__01006001___9c7557117a,连营寨,刘备,赵云,评价,2,对话；评价,"孤悔不听先生之言,致有今日。",llm,
pdf_01000000__01006001___9c7557117a,连营寨,吕范,孙权,汇报,2,对话；汇报,吕范呈上韩当、周泰求援奏本,llm,
pdf_01000000__01006001___9c7557117a,连营寨,周泰,刘备,命令,2,命令；提及,元帅，刘备移营未定，可传将令，待末将等，杀他个措手不及。,mention,
pdf_01000000__01006001___9c7557117a,连营寨,周泰,糜芳,同场共现,2,同场共现；对话,（韩当、周泰、糜芳、傅士仁、马忠、夏旬同上，同起霸。〖点绛唇〗。）,stage_direction,
pdf_01000000__01006001___9c7557117a,连营寨,孙权,众人,对话,2,,终日焦劳，恨刘备，心似咆哮。,adjacency,
