doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,perform_type,perform_subtype,action_tags,participants,text,raw_line
pdf_01000000__01006002___ebf44f4611,战长沙,pdf_01000000__01006002___ebf44f4611__line__000001,pdf_01000000__01006002___ebf44f4611__scene__000,01006002_战长沙.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006002_战长沙.pdf,01000000/01006002_战长沙.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,0,序幕/前置内容,1,narration,narration,,,,说明,,,《战长沙》,# 《战长沙》,# 《战长沙》
pdf_01000000__01006002___ebf44f4611,战长沙,pdf_01000000__01006002___ebf44f4611__line__000027,pdf_01000000__01006002___ebf44f4611__scene__001,01006002_战长沙.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006002_战长沙.pdf,01000000/01006002_战长沙.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,27,stage_direction,stage_direction,,,关羽、四绿龙套同上。,做,关羽、四绿龙套同上。,上,龙套；关羽,,（关羽、四绿龙套同上。）
pdf_01000000__01006002___ebf44f4611,战长沙,pdf_01000000__01006002___ebf44f4611__line__000029,pdf_01000000__01006002___ebf44f4611__scene__001,01006002_战长沙.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006002_战长沙.pdf,01000000/01006002_战长沙.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,关羽,pdf_01000000__01006002___ebf44f4611__char__93b598686e,引子,对白,引子,,关羽,"头带金盔双翅飘,胸藏韬略称英豪。","关羽（引子）头带金盔双翅飘,胸藏韬略称英豪。"
pdf_01000000__01006002___ebf44f4611,战长沙,pdf_01000000__01006002___ebf44f4611__line__000031,pdf_01000000__01006002___ebf44f4611__scene__001,01006002_战长沙.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006002_战长沙.pdf,01000000/01006002_战长沙.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,31,stage_direction,stage_direction,,,关羽上马。,做,关羽上马。,上,关羽,,（关羽上马。）
pdf_01000000__01006002___ebf44f4611,战长沙,pdf_01000000__01006002___ebf44f4611__line__000033,pdf_01000000__01006002___ebf44f4611__scene__001,01006002_战长沙.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006002_战长沙.pdf,01000000/01006002_战长沙.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,33,lyric,lyric,关羽,pdf_01000000__01006002___ebf44f4611__char__93b598686e,西皮快板,唱,西皮快板,唱段,关羽,夺取长沙把功开。,关羽 （西皮快板） 夺取长沙把功开。
pdf_01000000__01006002___ebf44f4611,战长沙,pdf_01000000__01006002___ebf44f4611__line__000035,pdf_01000000__01006002___ebf44f4611__scene__001,01006002_战长沙.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006002_战长沙.pdf,01000000/01006002_战长沙.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,35,stage_direction,stage_direction,,,关羽、四绿龙套同下。,做,关羽、四绿龙套同下。,下,龙套；关羽,,（关羽、四绿龙套同下。）
pdf_01000000__01006002___ebf44f4611,战长沙,pdf_01000000__01006002___ebf44f4611__line__000039,pdf_01000000__01006002___ebf44f4611__scene__002,01006002_战长沙.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006002_战长沙.pdf,01000000/01006002_战长沙.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,2,【第二场】,39,dialogue,dialogue,黄忠,pdf_01000000__01006002___ebf44f4611__char__abcd3a6074,念,念,念,,黄忠,"老将威名大,","黄忠（念）老将威名大,"
pdf_01000000__01006002___ebf44f4611,战长沙,pdf_01000000__01006002___ebf44f4611__line__000039,pdf_01000000__01006002___ebf44f4611__scene__002,01006002_战长沙.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006002_战长沙.pdf,01000000/01006002_战长沙.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,2,【第二场】,39,dialogue,dialogue,魏延,pdf_01000000__01006002___ebf44f4611__char__f758c109e6,念,念,念,,魏延,镇守在长沙。,魏延（念）镇守在长沙。
pdf_01000000__01006002___ebf44f4611,战长沙,pdf_01000000__01006002___ebf44f4611__line__000039,pdf_01000000__01006002___ebf44f4611__scene__002,01006002_战长沙.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006002_战长沙.pdf,01000000/01006002_战长沙.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,2,【第二场】,39,dialogue,dialogue,黄忠,pdf_01000000__01006002___ebf44f4611__char__abcd3a6074,念,念,念,,黄忠,"丹心换日月,","黄忠（念）丹心换日月,"
pdf_01000000__01006002___ebf44f4611,战长沙,pdf_01000000__01006002___ebf44f4611__line__000039,pdf_01000000__01006002___ebf44f4611__scene__002,01006002_战长沙.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006002_战长沙.pdf,01000000/01006002_战长沙.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,2,【第二场】,39,dialogue,dialogue,魏延,pdf_01000000__01006002___ebf44f4611__char__f758c109e6,念,念,念,,魏延,保主定邦家。,魏延（念）保主定邦家。
