doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01006002___ebf44f4611,战长沙,魏延,黄忠,协助,10,劝阻；协助；对话；提及,魏延救黄忠并劝其归顺,llm_refined,0.95
pdf_01000000__01006002___ebf44f4611,战长沙,韩玄,黄忠,命令,9,命令；对抗；对话；汇报,"黄忠、魏延出宝帐,一来对敌二为粮。三军暂退莲花帐,再等探马报端详。",llm_refined,0.9
pdf_01000000__01006002___ebf44f4611,战长沙,关羽,黄忠,评价,8,命令；对抗；对话；提及；汇报；评价,"黄忠阵前失了机,要与某家比高低。我把老儿好一比,绵羊见虎把头栖。将身且坐虎皮椅,细听探马报端的。",llm_refined,0.85
pdf_01000000__01006002___ebf44f4611,战长沙,黄忠,魏延,对话,8,反驳；对话,老将威名大,llm_refined,0.85
pdf_01000000__01006002___ebf44f4611,战长沙,魏延,韩玄,对抗,7,对抗；对话,魏延求情不成，杀韩玄,llm_refined,0.95
pdf_01000000__01006002___ebf44f4611,战长沙,黄忠,关羽,协助,6,协助；对话；提及,黄忠箭射盔缨不伤关羽,llm_refined,0.9
pdf_01000000__01006002___ebf44f4611,战长沙,韩玄,魏延,命令,5,命令；对话；汇报,"黄忠、魏延出宝帐,一来对敌二为粮。三军暂退莲花帐,再等探马报端详。",llm_refined,0.8
pdf_01000000__01006002___ebf44f4611,战长沙,黄忠,韩玄,劝阻,4,命令；对话,"韩玄与你有仇恨,何必为我把命丢。",llm_refined,0.85
pdf_01000000__01006002___ebf44f4611,战长沙,手下,魏延,提及,2,对话；提及,黄忠、魏延进帐。,llm_refined,0.8
pdf_01000000__01006002___ebf44f4611,战长沙,龙套,关羽,同场共现,2,,（关羽、四绿龙套同上。）,llm_refined,0.95
pdf_01000000__01006002___ebf44f4611,战长沙,关羽,报子,对话,1,,"黄忠阵前失了机,要与某家比高低。我把老儿好一比,绵羊见虎把头栖。将身且坐虎皮椅,细听探马报端的。",llm_refined,0.9
pdf_01000000__01006002___ebf44f4611,战长沙,关羽,魏延,对话,1,,"且住,黄忠老儿,百步穿杨,百发百中。今日箭射盔缨,不伤某的性命,必有归顺之意。军校将长沙团团围住。",llm_refined,0.85
pdf_01000000__01006002___ebf44f4611,战长沙,手下,黄忠,提及,1,,黄忠、魏延进帐。,llm_refined,0.8
pdf_01000000__01006002___ebf44f4611,战长沙,报子,关羽,对话,1,,黄忠讨战。,llm_refined,0.9
pdf_01000000__01006002___ebf44f4611,战长沙,报子,魏延,对话,1,,关将讨战。,llm_refined,0.85
pdf_01000000__01006002___ebf44f4611,战长沙,报子,黄忠,提及,1,,黄忠讨战。,llm_refined,0.85
pdf_01000000__01006002___ebf44f4611,战长沙,韩玄,关羽,对话,1,,"且住,黄忠百步穿杨,百发百中。今日连放三箭,不伤他的性命,只射盔缨,必有心降顺桃园之意。人来收兵。",llm_refined,0.85
pdf_01000000__01006002___ebf44f4611,战长沙,韩玄,手下,对话,1,,"志气凌云贯斗牛,全凭舌尖觅封侯。东荡西除安天下,南征北剿几时休?",llm_refined,0.8
pdf_01000000__01006002___ebf44f4611,战长沙,魏延,报子,对话,1,,"再听探马一报,便知分晓。",llm_refined,0.85
