doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01006002___ebf44f4611,战长沙,忠义,战争,3,【第三场】,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,将帅矛盾,忠义,2,【第二场】,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,仁德感召,忠义,1,【第七场】,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,仁德感召,背叛与归顺,1,【第七场】,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,喜剧,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,喜剧,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,喜剧,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,喜剧,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,喜剧,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,家国,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,将帅矛盾,报恩,1,【第五场】,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,将帅矛盾,老当益壮,1,【第二场】,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,忠义,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,忠义,报恩,1,【第五场】,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,忠义,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,忠义,老当益壮,1,【第二场】,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,忠义,背叛与归顺,1,【第七场】,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,忠义,英雄对峙,1,【第三场】,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,忠义,英雄相惜,1,【第四场】,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,情爱,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,战争,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,战争,英雄对峙,1,【第三场】,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,战争,英雄气概,1,【第一场】,scene_cooccurrence
pdf_01000000__01006002___ebf44f4611,战长沙,战争,英雄相惜,1,【第四场】,scene_cooccurrence
