doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01006003___dc57119794,草桥关,刘秀,姚期,命令,10,协助；命令；对话；提及,刘秀命姚期汇报草桥之事,llm,
pdf_01000000__01006003___dc57119794,草桥关,马武,姚期,协助,8,协助；同场共现；对话；评价；饯行,马武上前问候姚期，表示下马礼节。,llm,
pdf_01000000__01006003___dc57119794,草桥关,龙套,姚期,同场共现,8,,（马武、杜茂、岑彭、八手下同上，过场。姚期、四龙套同上，同出城。杜茂上前。）,stage_direction,
pdf_01000000__01006003___dc57119794,草桥关,岑彭,姚期,命令,7,同场共现；命令；对话；评价,宣读圣旨，命姚期进京,llm,
pdf_01000000__01006003___dc57119794,草桥关,杜茂,姚期,协助,7,协助；同场共现；对话；评价,杜茂上前问候姚期，表示下马礼节。,llm,
pdf_01000000__01006003___dc57119794,草桥关,姚期,刘秀,汇报,6,对话；汇报,姚期奏报边关事务,llm,
pdf_01000000__01006003___dc57119794,草桥关,龙套,岑彭,同场共现,6,,（马武、杜茂、岑彭、八手下同上，过场。姚期、四龙套同上，同出城。杜茂上前。）,stage_direction,
pdf_01000000__01006003___dc57119794,草桥关,龙套,杜茂,同场共现,6,,（马武、杜茂、岑彭、八手下同上，过场。姚期、四龙套同上，同出城。杜茂上前。）,stage_direction,
pdf_01000000__01006003___dc57119794,草桥关,龙套,马武,同场共现,6,,（马武、杜茂、岑彭、八手下同上，过场。姚期、四龙套同上，同出城。杜茂上前。）,stage_direction,
pdf_01000000__01006003___dc57119794,草桥关,姚期,姚夫人,命令,5,命令；对话,此番进京，夫人要严紧教训,llm,
pdf_01000000__01006003___dc57119794,草桥关,郭妃,刘秀,同场共现,5,同场共现；对话,（四太监引刘秀、郭妃同上。）,stage_direction,
pdf_01000000__01006003___dc57119794,草桥关,马武,岑彭,同场共现,5,劝阻；同场共现,（马武、杜茂、岑彭、八手下同上，过场。姚期、四龙套同上，同出城。杜茂上前。）,stage_direction,
