doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01006003___dc57119794,草桥关,亲情,权谋,2,【第五场】,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,家国,忠义,2,【第一场】,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,忠义,战争,2,【第二场】,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,亲情,忠义,1,【第五场】,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,同僚关系,礼仪,1,【第三场】,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,宫廷,家国,1,【第七场】,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,宫廷,忠义,1,【第七场】,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,家国,战争,1,【第四场】,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,家国,权力交接,1,【第四场】,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,家国,边防,1,【第一场】,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,忠义,情爱,1,【第六场】,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,忠义,权谋,1,【第五场】,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,忠义,边防,1,【第一场】,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,情爱,战争,1,【第六场】,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,情爱,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,情爱,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,战争,权力交接,1,【第四场】,scene_cooccurrence
pdf_01000000__01006003___dc57119794,草桥关,权谋,离散,1,序幕/前置内容,scene_cooccurrence
