doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01006003___dc57119794,草桥关,1,【第一场】,【第一场】,忠君,忠义,1,刘秀；太监甲；岑彭；杜茂；郭荣；马武,刘秀寿宴上思念姚期，马武提议调姚期回京，郭荣劝阻未果，刘秀命马、杜、岑三人镇守草桥关，调换姚期回都。,llm
pdf_01000000__01006003___dc57119794,草桥关,1,【第一场】,【第一场】,边防,边防,1,刘秀；太监甲；岑彭；杜茂；郭荣；马武,刘秀寿宴上思念姚期，马武提议调姚期回京，郭荣劝阻未果，刘秀命马、杜、岑三人镇守草桥关，调换姚期回都。,llm
pdf_01000000__01006003___dc57119794,草桥关,1,【第一场】,【第一场】,君臣情谊,家国,1,刘秀；太监甲；岑彭；杜茂；郭荣；马武,刘秀寿宴上思念姚期，马武提议调姚期回京，郭荣劝阻未果，刘秀命马、杜、岑三人镇守草桥关，调换姚期回都。,llm
pdf_01000000__01006003___dc57119794,草桥关,2,【第二场】,【第二场】,忠君,忠义,1,中军；姚期,姚期在边塞征战归来，中军报告马、杜、岑三位王爷押旨前来，姚期下令摆队相迎，准备迎接圣旨。,llm
pdf_01000000__01006003___dc57119794,草桥关,2,【第二场】,【第二场】,军威,战争,1,中军；姚期,姚期在边塞征战归来，中军报告马、杜、岑三位王爷押旨前来，姚期下令摆队相迎，准备迎接圣旨。,llm
pdf_01000000__01006003___dc57119794,草桥关,3,【第三场】,【第三场】,礼仪,礼仪,1,姚期；杜茂；马武,姚期出城迎接杜茂、马武、岑彭等将领，众人相互谦让后一同进城，为后续剧情铺垫。,llm
pdf_01000000__01006003___dc57119794,草桥关,3,【第三场】,【第三场】,同僚关系,同僚关系,1,姚期；杜茂；马武,姚期出城迎接杜茂、马武、岑彭等将领，众人相互谦让后一同进城，为后续剧情铺垫。,llm
pdf_01000000__01006003___dc57119794,草桥关,4,【第四场】,【第四场】,权力交接,权力交接,1,姚期；岑彭；杜茂；马武,圣旨调姚期进京陪王伴驾，草桥关防务移交马武、杜茂、岑彭三人执掌，姚期准备明日启程，三人约定长亭饯行。,llm
pdf_01000000__01006003___dc57119794,草桥关,4,【第四场】,【第四场】,君臣关系,家国,1,姚期；岑彭；杜茂；马武,圣旨调姚期进京陪王伴驾，草桥关防务移交马武、杜茂、岑彭三人执掌，姚期准备明日启程，三人约定长亭饯行。,llm
pdf_01000000__01006003___dc57119794,草桥关,4,【第四场】,【第四场】,边关镇守,战争,1,姚期；岑彭；杜茂；马武,圣旨调姚期进京陪王伴驾，草桥关防务移交马武、杜茂、岑彭三人执掌，姚期准备明日启程，三人约定长亭饯行。,llm
