doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01006003___dc57119794,草桥关,忠义,5,刘秀寿宴上思念姚期，马武提议调姚期回京，郭荣劝阻未果，刘秀命马、杜、岑三人镇守草桥关，调换姚期回都。,llm
pdf_01000000__01006003___dc57119794,草桥关,家国,4,刘秀寿宴上思念姚期，马武提议调姚期回京，郭荣劝阻未果，刘秀命马、杜、岑三人镇守草桥关，调换姚期回都。,llm
pdf_01000000__01006003___dc57119794,草桥关,战争,3,姚期在边塞征战归来，中军报告马、杜、岑三位王爷押旨前来，姚期下令摆队相迎，准备迎接圣旨。,llm
pdf_01000000__01006003___dc57119794,草桥关,亲情,2,姚期奉旨回朝陪王伴驾，将草桥关兵权交予马杜岑，姚刚不服郭荣专权，姚期叮嘱夫人严加管教。,llm
pdf_01000000__01006003___dc57119794,草桥关,情爱,2,姚期出征前，马武、杜茂、岑彭在长亭饯行。姚期辞别后，马武提议砍倒姚字旗号，准备迎战柳蛮，杜茂、岑彭劝阻后同意共同防守。,llm
pdf_01000000__01006003___dc57119794,草桥关,权谋,2,姚期奉旨回朝陪王伴驾，将草桥关兵权交予马杜岑，姚刚不服郭荣专权，姚期叮嘱夫人严加管教。,llm
pdf_01000000__01006003___dc57119794,草桥关,同僚关系,1,姚期出城迎接杜茂、马武、岑彭等将领，众人相互谦让后一同进城，为后续剧情铺垫。,llm
pdf_01000000__01006003___dc57119794,草桥关,宫廷,1,刘秀与郭妃在太和殿设宴迎接姚期，姚期谢恩并汇报边关事务，郭妃敬酒以示恩宠，君臣共饮叙旧。,llm
pdf_01000000__01006003___dc57119794,草桥关,权力交接,1,圣旨调姚期进京陪王伴驾，草桥关防务移交马武、杜茂、岑彭三人执掌，姚期准备明日启程，三人约定长亭饯行。,llm
pdf_01000000__01006003___dc57119794,草桥关,礼仪,1,姚期出城迎接杜茂、马武、岑彭等将领，众人相互谦让后一同进城，为后续剧情铺垫。,llm
pdf_01000000__01006003___dc57119794,草桥关,离散,1,# 《草桥关》 （一名：《威镇草桥》）,keyword
pdf_01000000__01006003___dc57119794,草桥关,边防,1,刘秀寿宴上思念姚期，马武提议调姚期回京，郭荣劝阻未果，刘秀命马、杜、岑三人镇守草桥关，调换姚期回都。,llm
