doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,perform_type,perform_subtype,action_tags,participants,text,raw_line
pdf_01000000__01006004___706c19cd15,九更天,pdf_01000000__01006004___706c19cd15__line__000001,pdf_01000000__01006004___706c19cd15__scene__000,01006004_九更天.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006004_九更天.pdf,01000000/01006004_九更天.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,0,序幕/前置内容,1,narration,narration,,,,说明,,,《九更天》,# 《九更天》,# 《九更天》
pdf_01000000__01006004___706c19cd15,九更天,pdf_01000000__01006004___706c19cd15__line__000003,pdf_01000000__01006004___706c19cd15__scene__000,01006004_九更天.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006004_九更天.pdf,01000000/01006004_九更天.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,0,序幕/前置内容,3,narration,narration,,,,说明,,,马义,# （一名：《马义救主》；一名：《弗天亮》）,# （一名：《马义救主》；一名：《弗天亮》）
pdf_01000000__01006004___706c19cd15,九更天,pdf_01000000__01006004___706c19cd15__line__000033,pdf_01000000__01006004___706c19cd15__scene__001,01006004_九更天.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006004_九更天.pdf,01000000/01006004_九更天.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,33,stage_direction,stage_direction,,,米进途上。,做,米进途上。,上；进,米进途,,（米进途上。）
pdf_01000000__01006004___706c19cd15,九更天,pdf_01000000__01006004___706c19cd15__line__000035,pdf_01000000__01006004___706c19cd15__scene__001,01006004_九更天.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006004_九更天.pdf,01000000/01006004_九更天.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,35,narration,narration,,,,说明,,上；进；问；报；唤；命；道；坐,米进途；马义,"<table><tr><td>米进途(引子)(白)</td><td>闷坐店房,思想家乡。小生米进途。奉了兄嫂之命,上京求名,居住店房,昨夜三更时候,睡梦之间,只见我那兄长,七孔流血,站在床前,口口声声,只言道与他报仇,不知此兆主何吉凶。不免将马义唤出,问个明白。马义哪里?</td></tr></table>","<table><tr><td>米进途(引子)(白)</td><td>闷坐店房,思想家乡。小生米进途。奉了兄嫂之命,上京求名,居住店房,昨夜三更时候,睡梦之间,只见我那兄长,七孔流血,站在床前,口口声声,只言道与他报仇,不知此兆主何吉凶。不免将马义唤出,问个明白。马义哪里?</td></tr></table>"
pdf_01000000__01006004___706c19cd15,九更天,pdf_01000000__01006004___706c19cd15__line__000037,pdf_01000000__01006004___706c19cd15__scene__001,01006004_九更天.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006004_九更天.pdf,01000000/01006004_九更天.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,37,stage_direction,stage_direction,,,马义上。,做,马义上。,上,马义,,（马义上。）
pdf_01000000__01006004___706c19cd15,九更天,pdf_01000000__01006004___706c19cd15__line__000039,pdf_01000000__01006004___706c19cd15__scene__001,01006004_九更天.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006004_九更天.pdf,01000000/01006004_九更天.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,39,dialogue,dialogue,马义,pdf_01000000__01006004___706c19cd15__char__91e488b6be,白,白,白,念白,马义,,马义 （白）
pdf_01000000__01006004___706c19cd15,九更天,pdf_01000000__01006004___706c19cd15__line__000041,pdf_01000000__01006004___706c19cd15__scene__001,01006004_九更天.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006004_九更天.pdf,01000000/01006004_九更天.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,41,stage_direction,stage_direction,,,白,做,白,念白,白,,（白）
pdf_01000000__01006004___706c19cd15,九更天,pdf_01000000__01006004___706c19cd15__line__000043,pdf_01000000__01006004___706c19cd15__scene__001,01006004_九更天.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006004_九更天.pdf,01000000/01006004_九更天.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,43,dialogue,dialogue,米进途,pdf_01000000__01006004___706c19cd15__char__986b1726b6,白,白,白,念白,米进途,,米进途 （白）
pdf_01000000__01006004___706c19cd15,九更天,pdf_01000000__01006004___706c19cd15__line__000045,pdf_01000000__01006004___706c19cd15__scene__001,01006004_九更天.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006004_九更天.pdf,01000000/01006004_九更天.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,45,dialogue,dialogue,马义,pdf_01000000__01006004___706c19cd15__char__91e488b6be,白,白,白,念白,马义,,马义 （白）
pdf_01000000__01006004___706c19cd15,九更天,pdf_01000000__01006004___706c19cd15__line__000047,pdf_01000000__01006004___706c19cd15__scene__001,01006004_九更天.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006004_九更天.pdf,01000000/01006004_九更天.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,47,dialogue,dialogue,米进途,pdf_01000000__01006004___706c19cd15__char__986b1726b6,白,白,白,念白,米进途,,米进途 （白）
