doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01006004___706c19cd15,九更天,1,【第一场】,陶氏,米进途,对话/应答,对话,9,"我夫一死心不定,心惊肉跳为何情?倘若二叔回家转,泄露机关命难存。",pdf_01000000__01006004___706c19cd15__line__000079,adjacency,
pdf_01000000__01006004___706c19cd15,九更天,1,【第一场】,米进途,马义,对话/应答,对话,2,"马义带路望前奔,不觉来到自家门。",pdf_01000000__01006004___706c19cd15__line__000079,adjacency,
pdf_01000000__01006004___706c19cd15,九更天,1,【第一场】,马义,陶氏,对话/应答,对话,3,遵命。主母开门来。,pdf_01000000__01006004___706c19cd15__line__000079,adjacency,
pdf_01000000__01006004___706c19cd15,九更天,1,【第一场】,陶氏,马义,对话/应答,对话,2,哪个叫门?,pdf_01000000__01006004___706c19cd15__line__000079,adjacency,
pdf_01000000__01006004___706c19cd15,九更天,1,【第一场】,米进途,陶氏,对话/应答,对话,8,嫂嫂请。,pdf_01000000__01006004___706c19cd15__line__000079,adjacency,
pdf_01000000__01006004___706c19cd15,九更天,1,【第一场】,马义,米进途,对话/应答,对话,1,多谢大主母。,pdf_01000000__01006004___706c19cd15__line__000079,adjacency,
pdf_01000000__01006004___706c19cd15,九更天,1,【第一场】,米进途,马义,提及,提及,1,"马义带路望前奔,不觉来到自家门。",pdf_01000000__01006004___706c19cd15__line__000079,mention,
pdf_01000000__01006004___706c19cd15,九更天,6,【第七场】,马妻,马女,对话/应答,对话,2,儿夫一去未回转，,pdf_01000000__01006004___706c19cd15__line__000367,adjacency,
pdf_01000000__01006004___706c19cd15,九更天,6,【第七场】,马女,马义,对话/应答,对话,2,"昨夜一梦大不祥,见了母亲说端详。",pdf_01000000__01006004___706c19cd15__line__000369,adjacency,
pdf_01000000__01006004___706c19cd15,九更天,6,【第七场】,马义,马妻,对话/应答,对话,7,"想此事不由我肝肠痛断,我心中好一似万把刀穿。悲切切进草堂随机应变,",pdf_01000000__01006004___706c19cd15__line__000369,adjacency,
pdf_01000000__01006004___706c19cd15,九更天,6,【第七场】,马妻,马义,对话/应答,对话,7,"吓,老老。",pdf_01000000__01006004___706c19cd15__line__000369,adjacency,
pdf_01000000__01006004___706c19cd15,九更天,6,【第七场】,马义,马女,对话/应答,对话,2,见妈妈我只得慢露真言。,pdf_01000000__01006004___706c19cd15__line__000369,adjacency,
pdf_01000000__01006004___706c19cd15,九更天,6,【第七场】,马女,马妻,对话/应答,对话,1,"爹爹,将孩儿杀死不值紧要,你二老百年之后,哪个与你披麻带孝吓!",pdf_01000000__01006004___706c19cd15__line__000369,adjacency,
pdf_01000000__01006004___706c19cd15,九更天,3,【第四场】,侯花嘴,米进途,同场共现,同场共现,1,（侯花嘴下。米进途、二衙役同上。）,,stage_direction,
pdf_01000000__01006004___706c19cd15,九更天,4,【第五场】,侯花嘴,陶氏,同场共现,同场共现,1,（侯花嘴、陶氏同下。）,,stage_direction,
pdf_01000000__01006004___706c19cd15,九更天,5,【第六场】,米进途,知县,同场共现,同场共现,1,（四青袍、二衙役、知县、米进途同上。）,,stage_direction,
pdf_01000000__01006004___706c19cd15,九更天,6,【第七场】,马妻,马义,同场共现,同场共现,1,（马义、马妻同下。）,,stage_direction,
pdf_01000000__01006004___706c19cd15,九更天,1,【第一场】,米进途,马义,命令,命令,2,米进途吩咐马义算清房钱赶路,,llm,
pdf_01000000__01006004___706c19cd15,九更天,1,【第一场】,米进途,陶氏,试探,试探,3,米进途询问陶氏为何穿孝，并拒绝其陪伴守灵,,llm,
pdf_01000000__01006004___706c19cd15,九更天,1,【第一场】,陶氏,米进途,劝阻,劝阻,2,陶氏劝米进途不要哭，并主动提出陪伴守灵,,llm,
pdf_01000000__01006004___706c19cd15,九更天,2,【第三场】,侯花嘴,二衙役,汇报,汇报,2,侯花嘴告知衙役米进途杀人,,llm,
pdf_01000000__01006004___706c19cd15,九更天,2,【第三场】,二衙役,米进途,命令,命令,3,衙役拘捕米进途,,llm,
pdf_01000000__01006004___706c19cd15,九更天,2,【第三场】,马义,米进途,协助,协助,1,马义欲为米进途打听消息,,llm,
pdf_01000000__01006004___706c19cd15,九更天,3,【第四场】,侯花嘴,知县,汇报,汇报,1,前来打报呈,pdf_01000000__01006004___706c19cd15__line__000233,llm,
pdf_01000000__01006004___706c19cd15,九更天,3,【第四场】,知县,侯花嘴,命令,命令,1,三日后听审。下去,pdf_01000000__01006004___706c19cd15__line__000269,llm,
pdf_01000000__01006004___706c19cd15,九更天,3,【第四场】,知县,米进途,命令,命令,1,押上堂来,pdf_01000000__01006004___706c19cd15__line__000287,llm,
pdf_01000000__01006004___706c19cd15,九更天,3,【第四场】,知县,米进途,对抗,对抗,1,为何将寡嫂杀死，从实招来,pdf_01000000__01006004___706c19cd15__line__000295,llm,
pdf_01000000__01006004___706c19cd15,九更天,3,【第四场】,米进途,知县,汇报,汇报,1,生员守兄之灵，并无此事,pdf_01000000__01006004___706c19cd15__line__000299,llm,
pdf_01000000__01006004___706c19cd15,九更天,4,【第五场】,侯花嘴,陶氏,协助,协助,1,安排陶氏住下吃酒睡觉,,llm,
pdf_01000000__01006004___706c19cd15,九更天,5,【第六场】,知县,米进途,命令,命令,1,来，将米进途带上来,pdf_01000000__01006004___706c19cd15__line__000359,llm,
pdf_01000000__01006004___706c19cd15,九更天,6,【第七场】,马义,马女,命令,命令,5,马义提议杀死女儿救主,,llm,
pdf_01000000__01006004___706c19cd15,九更天,6,【第七场】,马妻,马义,劝阻,劝阻,4,马妻反对杀女,,llm,
pdf_01000000__01006004___706c19cd15,九更天,6,【第七场】,马女,马义,劝阻,劝阻,3,马女以养老为由劝阻,,llm,
pdf_01000000__01006004___706c19cd15,九更天,6,【第七场】,马女,马妻,协助,协助,5,马女自刎，成全救主,,llm,
