doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01006004___706c19cd15,九更天,亲情,公案,2,【第七场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,亲情,忠义,2,【第七场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,公案,忠义,2,【第七场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,情爱,权谋,2,【第五场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,举报,公案,1,【第三场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,举报,司法介入,1,【第三场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,亲情,牺牲,1,【第七场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,公案,司法介入,1,【第三场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,公案,司法程序,1,【第四场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,公案,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,公案,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,公案,牺牲,1,【第七场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,公案,诬告,1,【第四场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,司法,权力,1,【第六场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,司法程序,诬告,1,【第四场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,家国,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,忠义,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,忠义,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,忠义,牺牲,1,【第七场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,怀疑,悲情,1,【第一场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,怀疑,情爱,1,【第一场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,怀疑,梦兆,1,【第一场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,悲情,情爱,1,【第一场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,悲情,梦兆,1,【第一场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,情爱,梦兆,1,【第一场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,情爱,欺骗,1,【第五场】,scene_cooccurrence
pdf_01000000__01006004___706c19cd15,九更天,权谋,欺骗,1,【第五场】,scene_cooccurrence
