doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01006005___1832274662,状元谱,陈伯愚,陈夫人,协助,10,协助；同场共现；对话,陈伯愚听从陈夫人建议，准备祭扫,llm_refined,0.9
pdf_01000000__01006005___1832274662,状元谱,陈夫人,陈伯愚,劝阻,9,劝阻；对话,"大官儿去远了,叫之不应。",llm_refined,0.9
pdf_01000000__01006005___1832274662,状元谱,朱仓,陈大官,对抗,7,对抗；对话；提及,朱仓嘲笑陈大官落魄，称其‘陈大官将就点罢’。,llm_refined,0.9
pdf_01000000__01006005___1832274662,状元谱,陈伯愚,陈大官,命令,7,命令；对话；提及,陈伯愚叫陈大官转来，但陈大官已去远,llm_refined,0.8
pdf_01000000__01006005___1832274662,状元谱,陈伯愚,张公道,协助,6,协助；对话,陈伯愚给予十人口粮和棉布,llm_refined,0.9
pdf_01000000__01006005___1832274662,状元谱,张公道,陈伯愚,命令,5,命令；对话,张公道请求陈伯愚放粮度日,llm_refined,0.8
pdf_01000000__01006005___1832274662,状元谱,陈大官,朱仓,同场共现,5,同场共现；对话,（陈大官、朱仓同下。陈伯愚、陈夫人、院子同上。）,llm_refined,0.7
pdf_01000000__01006005___1832274662,状元谱,陈伯愚,朱仓,命令,4,同场共现；命令；对话；提及,唤朱仓。,llm_refined,0.8
pdf_01000000__01006005___1832274662,状元谱,陈伯愚,院子,同场共现,4,同场共现；对话,（陈大官、朱仓同下。陈伯愚、陈夫人、院子同上。）,llm_refined,0.7
pdf_01000000__01006005___1832274662,状元谱,陈大官,陈伯愚,汇报,4,同场共现；对话；汇报,陈大官解释‘侄儿在街坊讨了几文钱，买些纸钱，与爹娘上坟来了’。,llm_refined,0.9
pdf_01000000__01006005___1832274662,状元谱,朱仓,陈伯愚,对话,3,对话,员外来了。,llm_refined,0.8
pdf_01000000__01006005___1832274662,状元谱,陈夫人,陈大官,协助,3,协助；对话,陈夫人提议‘你叔父有意收留于你，你意如何？’,llm_refined,0.9
pdf_01000000__01006005___1832274662,状元谱,院子,陈伯愚,汇报,3,对话；汇报,院子通报张公道求见,llm_refined,0.9
pdf_01000000__01006005___1832274662,状元谱,众小孩,张公道,对话,2,对话,"忽听爹爹唤,急忙到跟前。",llm_refined,0.8
pdf_01000000__01006005___1832274662,状元谱,张公道,众小孩,对话,2,对话,罢了。,llm_refined,0.8
pdf_01000000__01006005___1832274662,状元谱,张公道,院子,对话,2,对话,咳，八九十枝花。,llm_refined,0.7
pdf_01000000__01006005___1832274662,状元谱,院子,张公道,提及,2,对话；提及,张公道求见。,llm_refined,0.8
pdf_01000000__01006005___1832274662,状元谱,院子,朱仓,提及,2,对话；提及,祭礼赏与朱仓。,llm_refined,0.8
pdf_01000000__01006005___1832274662,状元谱,众小孩,陈伯愚,对话,1,对话,参见员外。,llm_refined,0.8
pdf_01000000__01006005___1832274662,状元谱,朱仓,陈夫人,对话,1,对话,谢谢员外、安人。,llm_refined,0.8
pdf_01000000__01006005___1832274662,状元谱,朱仓,院子,同场共现,1,同场共现,（陈大官、朱仓同下。陈伯愚、陈夫人、院子同上。）,llm_refined,0.7
pdf_01000000__01006005___1832274662,状元谱,陈大官,陈夫人,同场共现,1,同场共现；对话,（陈大官、朱仓同下。陈伯愚、陈夫人、院子同上。）,llm_refined,0.7
pdf_01000000__01006005___1832274662,状元谱,陈大官,院子,同场共现,1,同场共现,（陈大官、朱仓同下。陈伯愚、陈夫人、院子同上。）,llm_refined,0.7
pdf_01000000__01006005___1832274662,状元谱,陈夫人,朱仓,同场共现,1,同场共现,（陈大官、朱仓同下。陈伯愚、陈夫人、院子同上。）,llm_refined,0.7
pdf_01000000__01006005___1832274662,状元谱,陈夫人,院子,同场共现,1,同场共现,（陈大官、朱仓同下。陈伯愚、陈夫人、院子同上。）,llm_refined,0.7
pdf_01000000__01006005___1832274662,状元谱,院子,众小孩,对话,1,对话,你们谢过员外。,llm_refined,0.8
