doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01006005___1832274662,状元谱,1,【第一场】,【第一场】,慈善,慈善,1,众小孩；张公道；陈伯愚；院子,张公道带六个孩子向陈伯愚请求领粮度日，陈伯愚慷慨给予十人口粮和棉布，展现其乐善好施。,llm
pdf_01000000__01006005___1832274662,状元谱,1,【第一场】,【第一场】,贫富对比,贫富对比,1,众小孩；张公道；陈伯愚；院子,张公道带六个孩子向陈伯愚请求领粮度日，陈伯愚慷慨给予十人口粮和棉布，展现其乐善好施。,llm
pdf_01000000__01006005___1832274662,状元谱,1,【第一场】,【第一场】,家庭,亲情,1,众小孩；张公道；陈伯愚；院子,张公道带六个孩子向陈伯愚请求领粮度日，陈伯愚慷慨给予十人口粮和棉布，展现其乐善好施。,llm
pdf_01000000__01006005___1832274662,状元谱,2,【第二场】,【第二场】,家族传承,家族传承,1,陈伯愚；陈大官；陈夫人；院子,陈伯愚拷打侄儿陈大官后，陈大官负气离去。陈伯愚与陈夫人感叹无子，清明祭扫祖先坟墓。,llm
pdf_01000000__01006005___1832274662,状元谱,2,【第二场】,【第二场】,孝道,孝道,1,陈伯愚；陈大官；陈夫人；院子,陈伯愚拷打侄儿陈大官后，陈大官负气离去。陈伯愚与陈夫人感叹无子，清明祭扫祖先坟墓。,llm
pdf_01000000__01006005___1832274662,状元谱,2,【第二场】,【第二场】,贫富变迁,贫富变迁,1,陈伯愚；陈大官；陈夫人；院子,陈伯愚拷打侄儿陈大官后，陈大官负气离去。陈伯愚与陈夫人感叹无子，清明祭扫祖先坟墓。,llm
pdf_01000000__01006005___1832274662,状元谱,3,【第三场】,【第三场】,孝道,孝道,1,朱仓；陈伯愚；陈大官；陈夫人；院子,清明上坟，陈大官落魄祭扫父母，被叔父陈伯愚撞见。陈伯愚夫妇怜其改过，收留并托付家财，陈大官感激涕零。,llm
pdf_01000000__01006005___1832274662,状元谱,3,【第三场】,【第三场】,浪子回头,浪子回头,1,朱仓；陈伯愚；陈大官；陈夫人；院子,清明上坟，陈大官落魄祭扫父母，被叔父陈伯愚撞见。陈伯愚夫妇怜其改过，收留并托付家财，陈大官感激涕零。,llm
pdf_01000000__01006005___1832274662,状元谱,3,【第三场】,【第三场】,家族传承,家族传承,1,朱仓；陈伯愚；陈大官；陈夫人；院子,清明上坟，陈大官落魄祭扫父母，被叔父陈伯愚撞见。陈伯愚夫妇怜其改过，收留并托付家财，陈大官感激涕零。,llm
pdf_01000000__01006005___1832274662,状元谱,3,【第三场】,【第三场】,贫富变迁,贫富变迁,1,朱仓；陈伯愚；陈大官；陈夫人；院子,清明上坟，陈大官落魄祭扫父母，被叔父陈伯愚撞见。陈伯愚夫妇怜其改过，收留并托付家财，陈大官感激涕零。,llm
pdf_01000000__01006005___1832274662,状元谱,0,序幕/前置内容,序幕/前置内容,战争,战争,1,,# 《状元谱》 （一名：《打侄上坟》）,keyword
pdf_01000000__01006005___1832274662,状元谱,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《状元谱》 （一名：《打侄上坟》）,keyword
pdf_01000000__01006005___1832274662,状元谱,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《状元谱》 （一名：《打侄上坟》）,keyword
pdf_01000000__01006005___1832274662,状元谱,0,序幕/前置内容,序幕/前置内容,公案,公案,1,,# 《状元谱》 （一名：《打侄上坟》）,keyword
pdf_01000000__01006005___1832274662,状元谱,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《状元谱》 （一名：《打侄上坟》）,keyword
