doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01006005___1832274662,状元谱,亲情,2,张公道带六个孩子向陈伯愚请求领粮度日，陈伯愚慷慨给予十人口粮和棉布，展现其乐善好施。,llm
pdf_01000000__01006005___1832274662,状元谱,孝道,2,陈伯愚拷打侄儿陈大官后，陈大官负气离去。陈伯愚与陈夫人感叹无子，清明祭扫祖先坟墓。,llm
pdf_01000000__01006005___1832274662,状元谱,家族传承,2,陈伯愚拷打侄儿陈大官后，陈大官负气离去。陈伯愚与陈夫人感叹无子，清明祭扫祖先坟墓。,llm
pdf_01000000__01006005___1832274662,状元谱,贫富变迁,2,陈伯愚拷打侄儿陈大官后，陈大官负气离去。陈伯愚与陈夫人感叹无子，清明祭扫祖先坟墓。,llm
pdf_01000000__01006005___1832274662,状元谱,公案,1,# 《状元谱》 （一名：《打侄上坟》）,keyword
pdf_01000000__01006005___1832274662,状元谱,家国,1,# 《状元谱》 （一名：《打侄上坟》）,keyword
pdf_01000000__01006005___1832274662,状元谱,情爱,1,# 《状元谱》 （一名：《打侄上坟》）,keyword
pdf_01000000__01006005___1832274662,状元谱,慈善,1,张公道带六个孩子向陈伯愚请求领粮度日，陈伯愚慷慨给予十人口粮和棉布，展现其乐善好施。,llm
pdf_01000000__01006005___1832274662,状元谱,战争,1,# 《状元谱》 （一名：《打侄上坟》）,keyword
pdf_01000000__01006005___1832274662,状元谱,浪子回头,1,清明上坟，陈大官落魄祭扫父母，被叔父陈伯愚撞见。陈伯愚夫妇怜其改过，收留并托付家财，陈大官感激涕零。,llm
pdf_01000000__01006005___1832274662,状元谱,贫富对比,1,张公道带六个孩子向陈伯愚请求领粮度日，陈伯愚慷慨给予十人口粮和棉布，展现其乐善好施。,llm
