doc_id,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,source_file,source_path,relative_path,title,aliases,alias_text,period_hint,genre_hint,synopsis,note_text,doc_tags,text_length,parse_quality_score,parse_quality_label,analysis_ready,parser_version,scene_count,role_count,dialogue_count,performance_count,relation_count,aggregated_relation_count,theme_count,aggregated_theme_count,entity_alias_count,theme_pair_count,llm_enabled,llm_model,state,raw_md_path,cleaned_md_path,structured_raw_json,structured_json
pdf_01000000__01001001___b0ac065467,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计,空城计,抚琴退兵,一名：《抚琴退兵》,汉,历史戏,三国时，马谡失守街亭，司马懿率大军直逼西城。诸葛亮兵微将寡，乃设空城计，大开城门，自坐城楼抚琴。司马懿疑有伏兵，退兵四十里。诸葛亮得以调兵回防。,此剧唱做兼优者首推小叫天，三句“再探”顿换三样面色，白口唱工传神。刘鸿声则推唱工可听。,权谋；战争；忠义,6375,0.963,high,True,2026-05-16-r6,7,7,143,143,84,41,21,14,7,24,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001001_空城计\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001001_空城计\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001001_空城计\structured.json
pdf_01000000__01001002___575bd35247,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,01001002_洪羊洞.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001002_洪羊洞.pdf,01000000/01001002_洪羊洞,洪羊洞,孟良盗骨；三星归位,一名：《孟良盗骨》；一名：《三星归位》,宋,历史戏,北宋杨继业托梦杨延昭，告知真骸骨在洪羊洞。杨延昭命孟良往取，焦赞暗随。孟良误杀焦赞后自刎，杨延昭惊悼成疾，将星被赵德芳射中而逝。,因杨延昭将星为赵德芳所射，剧中赵德芳探病时，杨延昭有“你、你、你，你不该放雕翎射我的前心”句，一连几个“你”字极难顿挫。贵俊卿演此剧，唱“洪羊洞”之“洞”字调最佳。,忠义；战争；离散,12225,0.997,high,True,2026-05-16-r6,11,9,177,177,64,35,31,17,0,25,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001002_洪羊洞\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001002_洪羊洞\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001002_洪羊洞\structured.json
pdf_01000000__01001003___c7b0d12542,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,01001003_三娘教子.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001003_三娘教子.pdf,01000000/01001003_三娘教子,三娘教子,双官诰,《双官诰》【前本】,明,家庭戏,明代薛广客死镇江，妻张氏、妾刘氏改嫁，三娘王氏誓守节，与老仆薛保含辛茹苦抚养前房之子倚哥。倚哥因被同学讥讽无母，回家顶撞三娘，三娘怒断机布。薛保竭力劝导，母子终和好如初。,前在丹桂听孙菊仙小子和小黎青合唱此剧，唱做俱妙。孙菊仙去薛保，白口至“三娘”二字，声若洪钟。,家庭；忠义；离散,9341,0.37,low,False,2026-05-16-r6,1,3,1,1,0,0,9,9,0,36,True,deepseek-chat,combined,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001003_三娘教子\audit\raw_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001003_三娘教子\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001003_三娘教子\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001003_三娘教子\structured.json
pdf_01000000__01001004___c0c4e6569b,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,01001004_乌盆计【后本】.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001004_乌盆计【后本】.pdf,01000000/01001004_乌盆计【后本】,乌盆计,奇冤报；定远县,一名《奇冤报》；一名《定远县》,宋,公案戏,北宋绸商刘世昌投宿赵大客店，被赵大夫妇谋财害命，尸骨烧成乌盆。数年后，张别古讨债得盆，盆中鬼魂诉冤。张别古携盆至包拯处首告，包公审明案情，将赵大绳之以法。,剧中反二黄一段最为动听。普通只唱诉冤一段，谭贝勒必演全本，服毒一场跌扑费力。近贵俊卿亦演全本，纯仿谭派。,公案；冤案；鬼魂；复仇,14369,0.994,high,True,2026-05-16-r6,3,4,169,169,27,13,11,8,0,14,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001004_乌盆计【后本】\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001004_乌盆计【后本】\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001004_乌盆计【后本】\structured.json
pdf_01000000__01001005___9cd2b8992a,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹,打鼓骂曹,群臣宴,一名《群臣宴》,汉,历史戏,汉末祢衡才高性傲，孔融荐于曹操。曹操傲不为礼，命祢衡为鼓吏。祢衡借击鼓泄愤，当众大骂曹操欺君罔上。曹操忍怒，遣祢衡往荆州劝降刘表，后祢衡被黄祖所杀。,前在丹桂见七盏灯演此剧，进帐时唱二六板一段，激昂慷慨；击鼓时鼓声如沙崩钜鹿、瓦碎长平，能使座客心向往之。,忠义；权谋；悲剧,13192,0.93,high,True,2026-05-16-r6,4,2,160,160,58,30,10,9,1,10,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001005_打鼓骂曹\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001005_打鼓骂曹\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001005_打鼓骂曹\structured.json
pdf_01000000__01001006___06011d42c6,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,01001006_捉放曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001006_捉放曹.pdf,01000000/01001006_捉放曹,捉放曹,中牟县；陈宫计,一名《中牟县》；一名《陈宫计》,汉,家庭戏,汉末，曹操刺杀董卓未遂，逃亡至中牟县被擒。县令陈宫感其志，弃官同逃。途中遇父友吕伯奢，曹操疑其加害，杀吕全家。陈宫见曹操心狠，夜宿时题诗离去。,版本：据《戏考》整理，为传统京剧经典剧目。表演上注重曹操多疑与陈宫悔恨的心理刻画。,忠义；权谋；家庭；离散,17442,1.0,high,True,2026-05-16-r6,4,6,216,216,51,22,15,11,1,21,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001006_捉放曹\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001006_捉放曹\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001006_捉放曹\structured.json
pdf_01000000__01001007___1b262d262b,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子,桑园寄子,黑水国,一名：《黑水国》,晋,家庭戏,晋代黑水国石勒造反，邓伯道携弟妇及子侄逃难。途中弟妇失散，邓伯道为保全侄儿，忍痛将亲子缚于桑树，留下血书，负侄而去。后弟妇路过救下亲子，一家终得团聚。,正史载邓伯道无子，此剧情节离奇，神情悲惨，使观者悲喜交加，油然起骨肉之感。孙菊仙、小连生合演此剧，堪称四美具二难并。,家庭；离散；忠义,9798,0.93,high,True,2026-05-16-r6,6,2,195,195,48,20,21,12,0,30,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001007_桑园寄子\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001007_桑园寄子\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001007_桑园寄子\structured.json
pdf_01000000__01001008___4e2bf00560,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,01001008_取成都.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001008_取成都.pdf,01000000/01001008_取成都,取成都,石伏岩,一名：《石伏岩》,汉,历史戏,汉末，刘璋被刘备围困，向张鲁求援。张鲁派马超救援，马超却降刘备反攻刘璋。刘璋无奈开城投降，质问刘备当初推让成都，今为何兵戎相见。刘备语塞，诸葛亮代答不得已。刘备逼刘璋交印，自领益州牧。,汪大头善唱此剧，声调高透，神情周到。临行时唱二六板一段，悲歌慷慨，韵节苍凉，声碎垂壶，天生好歌喉，非他伶可及。,权谋；战争；忠义,10366,1.0,high,True,2026-05-16-r6,6,5,122,122,72,41,19,12,5,18,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001008_取成都\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001008_取成都\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001008_取成都\structured.json
pdf_01000000__01001009___abd1be1808,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣,硃砂痣,行善得子,一名：《行善得子》,,家庭戏,双州太守韩廷凤因无子嗣另娶江氏，得知江氏卖身救夫后赠银送其返家。江氏夫妇为报恩送孩童给太守，韩廷凤验得孩子左脚有硃砂痣，认出是十三年前因金兵作乱走失的儿子韩遇运，父子重逢。,,家庭；离散；团圆；恩义,13646,1.0,high,True,2026-05-16-r6,7,6,247,247,54,24,24,15,0,29,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001009_硃砂痣\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001009_硃砂痣\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001009_硃砂痣\structured.json
pdf_01000000__01001010___86bc12e35b,01000000,1000000,《戏考》,《戏考》（1000000）,01001010,黄金台,01001010_黄金台.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001010_黄金台.pdf,01000000/01001010_黄金台,黄金台,田单救主；搜府盘关；乐毅伐齐,一名：《田单救主》；一名：《搜府盘关》；一名：《乐毅伐齐》,战国,历史戏,战国时，齐湣王宠信邹妃和太监伊立，太子田法章被诬陷戏妃，遭搜斩。太子逃出，遇田单藏于府中。伊立搜府，田单将太子扮作妹妹混过。后田单与太子扮兄妹进香出关，逃至即墨。后乐毅伐齐，田单用火牛阵破燕，复国。,谭叫天、金秀山合演此剧最为出色。金秀山饰伊立，搜府时白口斩钉截铁；叫天做工老当，踢灯时最为得势，唱至“回头再把千岁请”一躬倒地，抑扬顿挫。盘关时形容尽致，可做贪鄙官吏现形记。,忠义；权谋；战争；离散,8727,1.0,high,True,2026-05-16-r6,3,6,148,148,30,20,12,10,0,25,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001010_黄金台\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001010_黄金台\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001010_黄金台\structured.json
