doc_id,doc_title,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,司马懿,pdf_01000000__01001001___b0ac065467__char__e9c71dfd96,15,58,1.0,1.0,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,诸葛亮,pdf_01000000__01001001___b0ac065467__char__5edf330a7c,13,54,0.8667,0.931,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,龙套,pdf_01000000__01001001___b0ac065467__char__25554deeec,9,28,0.6,0.4828,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,赵云,pdf_01000000__01001001___b0ac065467__char__44d28f079c,9,18,0.6,0.3103,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,司马昭,pdf_01000000__01001001___b0ac065467__char__a14a4026de,7,29,0.4667,0.5,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,司马师,pdf_01000000__01001001___b0ac065467__char__07d1623981,6,19,0.4,0.3276,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,报子,pdf_01000000__01001001___b0ac065467__char__b53e9bab9b,6,10,0.4,0.1724,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,旗牌,pdf_01000000__01001001___b0ac065467__char__32be7549a5,4,18,0.2667,0.3103,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,童儿,pdf_01000000__01001001___b0ac065467__char__359a379371,4,9,0.2667,0.1552,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,老军,pdf_01000000__01001001___b0ac065467__char__4564147e83,4,6,0.2667,0.1034,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,众人,pdf_01000000__01001001___b0ac065467__char__e4a08b5743,4,4,0.2667,0.069,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,马谡,pdf_01000000__01001001___b0ac065467__char__29724e4ee6,1,1,0.0667,0.0172,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,杨延昭,pdf_01000000__01001002___575bd35247__char__1de21143a8,17,97,1.0,1.0,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,程宣,pdf_01000000__01001002___575bd35247__char__476397dea5,7,56,0.4118,0.5773,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,孟良,pdf_01000000__01001002___575bd35247__char__5975f5da58,7,44,0.4118,0.4536,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,家院,pdf_01000000__01001002___575bd35247__char__455f837782,7,17,0.4118,0.1753,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,焦赞,pdf_01000000__01001002___575bd35247__char__d3044dc191,7,19,0.4118,0.1959,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,赵德芳,pdf_01000000__01001002___575bd35247__char__5103c2b42c,6,21,0.3529,0.2165,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,佘太君,pdf_01000000__01001002___575bd35247__char__885012435f,6,9,0.3529,0.0928,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,杨宗保,pdf_01000000__01001002___575bd35247__char__106654b9cc,5,17,0.2941,0.1753,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,柴夫人,pdf_01000000__01001002___575bd35247__char__8127ff05c7,5,10,0.2941,0.1031,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,杨继业,pdf_01000000__01001002___575bd35247__char__3da10fe899,3,6,0.1765,0.0619,relations_aggregated
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,张别古,pdf_01000000__01001004___c0c4e6569b__char__5424b307bc,8,40,1.0,1.0,relations_aggregated
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,刘世昌,pdf_01000000__01001004___c0c4e6569b__char__3d58ac8562,5,23,0.625,0.575,relations_aggregated
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,包拯,pdf_01000000__01001004___c0c4e6569b__char__ebe18b18cb,5,16,0.625,0.4,relations_aggregated
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,二衙役,pdf_01000000__01001004___c0c4e6569b__char__5670318b96,4,9,0.5,0.225,relations_aggregated
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,赵大,pdf_01000000__01001004___c0c4e6569b__char__e8bcce398f,3,13,0.375,0.325,relations_aggregated
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,家人,pdf_01000000__01001004___c0c4e6569b__char__502c1de4b1,1,1,0.125,0.025,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,10,123,1.0,0.9389,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,10,131,1.0,1.0,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,四朝官,pdf_01000000__01001005___9cd2b8992a__char__4a0d402c3e,10,58,1.0,0.4427,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,张辽,pdf_01000000__01001005___9cd2b8992a__char__24bee3c180,8,30,0.8,0.229,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,6,24,0.6,0.1832,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,二旗牌,pdf_01000000__01001005___9cd2b8992a__char__c95b93cbf7,5,18,0.5,0.1374,relations_aggregated
