doc_id,doc_title,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,1,【第一场】,【第一场】,智谋,权谋,1,二老军；报子；旗牌；童儿；老军乙；老军甲；诸葛亮,诸葛亮得知马谡失守街亭，司马懿大军逼近西城，城内空虚，遂定空城计，命老军打开城门，携琴童上敌楼抚琴。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,1,【第一场】,【第一场】,危机,悲情,1,二老军；报子；旗牌；童儿；老军乙；老军甲；诸葛亮,诸葛亮得知马谡失守街亭，司马懿大军逼近西城，城内空虚，遂定空城计，命老军打开城门，携琴童上敌楼抚琴。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,1,【第一场】,【第一场】,责任,使命,1,二老军；报子；旗牌；童儿；老军乙；老军甲；诸葛亮,诸葛亮得知马谡失守街亭，司马懿大军逼近西城，城内空虚，遂定空城计，命老军打开城门，携琴童上敌楼抚琴。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,1,【第一场】,【第一场】,冒险,冒险,1,二老军；报子；旗牌；童儿；老军乙；老军甲；诸葛亮,诸葛亮得知马谡失守街亭，司马懿大军逼近西城，城内空虚，遂定空城计，命老军打开城门，携琴童上敌楼抚琴。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,2,【第二场】,【第二场】,军事行动,战争,1,司马师；司马懿；司马昭,司马懿率司马师、司马昭及四白龙套急急风过场，显示魏军快速行军，为后续兵临城下做铺垫。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,2,【第二场】,【第二场】,紧张氛围,紧张氛围,1,司马师；司马懿；司马昭,司马懿率司马师、司马昭及四白龙套急急风过场，显示魏军快速行军，为后续兵临城下做铺垫。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,3,【第三场】,【第三场】,军事行动,战争,1,赵云,赵云率四上手急急风过场，显示蜀军调动，为后续空城计做铺垫。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,3,【第三场】,【第三场】,铺垫,铺垫,1,赵云,赵云率四上手急急风过场，显示蜀军调动，为后续空城计做铺垫。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,4,【第四场】,【第四场】,智谋,权谋,1,二老军；众人；司马懿；司马昭；诸葛亮；赵云,诸葛亮在城楼抚琴，以空城计迷惑司马懿，使其疑有伏兵而退兵四十里，随后命赵云准备迎敌。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,4,【第四场】,【第四场】,疑心,疑心,1,二老军；众人；司马懿；司马昭；诸葛亮；赵云,诸葛亮在城楼抚琴，以空城计迷惑司马懿，使其疑有伏兵而退兵四十里，随后命赵云准备迎敌。,llm
